file,frame,object_id,x,y,width,height
PETS2009-S1L1-1-cropped.xml,10,6,671.6432,323.9709,53.5235,108.5348
PETS2009-S1L1-1-cropped.xml,10,7,670.337,310.5125,38.2374,91.0615
PETS2009-S1L1-1-cropped.xml,10,8,697.6269,283.4699,33.24,98.8192
PETS2009-S1L1-1-cropped.xml,11,1,549.0171,286.6106,48.7583,98.6002
PETS2009-S1L1-1-cropped.xml,11,2,599.4055,295.4154,50.036,101.2112
PETS2009-S1L1-1-cropped.xml,11,4,616.8071,262.0925,42.1167,102.455
PETS2009-S1L1-1-cropped.xml,11,5,603.4212,286.2768,37.8733,92.66
PETS2009-S1L1-1-cropped.xml,11,6,663.0781,321.0407,53.2581,107.843
PETS2009-S1L1-1-cropped.xml,11,7,662.0484,307.7785,38.2383,91.4602
PETS2009-S1L1-1-cropped.xml,11,8,689.4737,281.0224,33.1612,98.253
PETS2009-S1L1-1-cropped.xml,11,9,712.4746,308.818,49.386,105.1063
PETS2009-S1L1-1-cropped.xml,12,1,542.0782,284.506,48.4749,98.0181
PETS2009-S1L1-1-cropped.xml,12,2,591.4416,292.9343,49.7082,100.5395
PETS2009-S1L1-1-cropped.xml,12,4,608.4312,260.2637,42.0833,101.9074
PETS2009-S1L1-1-cropped.xml,12,5,595.2529,284.0939,37.58,92.0758
PETS2009-S1L1-1-cropped.xml,12,6,654.7704,318.0182,52.9001,107.0781
PETS2009-S1L1-1-cropped.xml,12,7,653.7554,305.0614,38.2165,91.7754
PETS2009-S1L1-1-cropped.xml,12,8,681.3205,278.5752,33.0829,97.6866
PETS2009-S1L1-1-cropped.xml,12,9,703.0998,306.0149,50.7016,104.5178
PETS2009-S1L1-1-cropped.xml,13,1,535.4469,282.5179,48.2064,97.4656
PETS2009-S1L1-1-cropped.xml,13,2,583.4901,290.526,49.3876,99.8824
PETS2009-S1L1-1-cropped.xml,13,4,600.0549,258.4349,42.05,101.36
PETS2009-S1L1-1-cropped.xml,13,5,587.0883,281.9179,37.2866,91.4919
PETS2009-S1L1-1-cropped.xml,13,6,646.6444,314.938,52.5111,106.2829
PETS2009-S1L1-1-cropped.xml,13,7,645.454,302.3753,38.1531,91.935
PETS2009-S1L1-1-cropped.xml,13,8,673.1672,276.1281,33.005,97.12
PETS2009-S1L1-1-cropped.xml,13,9,694.0363,303.3835,51.075,103.8616
PETS2009-S1L1-1-cropped.xml,14,1,528.9249,280.6084,47.9475,96.9316
PETS2009-S1L1-1-cropped.xml,14,2,575.4321,288.1937,49.0741,99.2402
PETS2009-S1L1-1-cropped.xml,14,4,591.6784,256.606,42.0167,100.8126
PETS2009-S1L1-1-cropped.xml,14,5,578.9237,279.7421,36.993,90.9081
PETS2009-S1L1-1-cropped.xml,14,6,638.537,311.8478,52.1195,105.4825
PETS2009-S1L1-1-cropped.xml,14,7,637.1419,299.7316,38.0334,91.8824
PETS2009-S1L1-1-cropped.xml,14,8,665.0136,273.6808,32.9271,96.5534
PETS2009-S1L1-1-cropped.xml,14,9,685.082,300.7606,50.9754,103.1811
PETS2009-S1L1-1-cropped.xml,15,1,522.2677,278.7177,47.6896,96.3988
PETS2009-S1L1-1-cropped.xml,15,2,567.1663,285.9034,48.7636,98.6042
PETS2009-S1L1-1-cropped.xml,15,4,583.3021,254.7766,41.9833,100.265
PETS2009-S1L1-1-cropped.xml,15,5,570.7587,277.5661,36.6992,90.3242
PETS2009-S1L1-1-cropped.xml,15,6,630.3089,308.7855,51.7292,104.685
PETS2009-S1L1-1-cropped.xml,15,7,628.8197,297.1304,37.8578,91.6177
PETS2009-S1L1-1-cropped.xml,15,8,656.8597,271.2332,32.8488,95.987
PETS2009-S1L1-1-cropped.xml,15,9,676.0461,298.0633,50.678,102.4695
PETS2009-S1L1-1-cropped.xml,16,1,515.286,276.7938,47.4252,95.8525
PETS2009-S1L1-1-cropped.xml,16,2,558.6724,283.5898,48.4481,97.9582
PETS2009-S1L1-1-cropped.xml,16,4,574.9263,252.9468,41.95,99.7174
PETS2009-S1L1-1-cropped.xml,16,5,562.5933,275.3897,36.405,89.74
PETS2009-S1L1-1-cropped.xml,16,6,621.9355,305.7724,51.3427,103.8951
PETS2009-S1L1-1-cropped.xml,16,7,620.4903,294.5608,37.6412,91.1973
PETS2009-S1L1-1-cropped.xml,16,8,648.7059,268.7853,32.77,95.4208
PETS2009-S1L1-1-cropped.xml,16,9,666.8463,295.2802,50.314,101.7303
PETS2009-S1L1-1-cropped.xml,17,1,507.8989,274.8082,47.15,95.2848
PETS2009-S1L1-1-cropped.xml,17,2,550.0247,281.1823,48.1193,97.2853
PETS2009-S1L1-1-cropped.xml,17,4,566.5695,251.1185,41.9167,99.17
PETS2009-S1L1-1-cropped.xml,17,5,554.4282,273.2128,36.1108,89.1558
PETS2009-S1L1-1-cropped.xml,17,6,613.4937,302.8217,50.9622,103.1164
PETS2009-S1L1-1-cropped.xml,17,7,612.1571,292.0083,37.4024,90.6929
PETS2009-S1L1-1-cropped.xml,17,8,640.5525,266.3375,32.6912,94.855
PETS2009-S1L1-1-cropped.xml,17,9,657.4939,292.4443,49.9419,100.974
PETS2009-S1L1-1-cropped.xml,18,1,500.1273,272.7528,46.8627,94.694
PETS2009-S1L1-1-cropped.xml,18,2,541.3499,278.6398,47.7732,96.5762
PETS2009-S1L1-1-cropped.xml,18,4,558.2762,249.2957,41.8833,98.6226
PETS2009-S1L1-1-cropped.xml,18,5,546.2701,271.0385,35.817,88.572
PETS2009-S1L1-1-cropped.xml,18,6,605.0885,299.9448,50.5894,102.3522
PETS2009-S1L1-1-cropped.xml,18,7,603.8223,289.4625,37.1546,90.155
PETS2009-S1L1-1-cropped.xml,18,8,632.3995,263.8897,32.6129,94.2892
PETS2009-S1L1-1-cropped.xml,18,9,648.0655,289.6075,49.5681,100.2132
PETS2009-S1L1-1-cropped.xml,19,1,492.0604,270.6306,46.5644,94.0816
PETS2009-S1L1-1-cropped.xml,19,2,532.7608,275.9736,47.4118,95.8345
PETS2009-S1L1-1-cropped.xml,19,4,550.1416,247.4864,41.85,98.075
PETS2009-S1L1-1-cropped.xml,19,5,538.1345,268.8726,35.5234,87.9884
PETS2009-S1L1-1-cropped.xml,19,6,596.7861,297.1501,50.2252,101.6054
PETS2009-S1L1-1-cropped.xml,19,7,595.4869,286.9187,36.9037,89.6074
PETS2009-S1L1-1-cropped.xml,19,8,624.2466,261.4418,32.535,93.723
PETS2009-S1L1-1-cropped.xml,19,9,638.6499,286.8039,49.1969,99.4567
PETS2009-S1L1-1-cropped.xml,20,1,483.8193,268.4438,46.2565,93.4491
PETS2009-S1L1-1-cropped.xml,20,2,524.3132,273.2414,47.0426,95.0749
PETS2009-S1L1-1-cropped.xml,20,4,542.3007,245.7022,41.8167,97.5275
PETS2009-S1L1-1-cropped.xml,20,5,530.0554,266.7282,35.23,87.405
PETS2009-S1L1-1-cropped.xml,20,6,588.5976,294.4358,49.8695,100.8759
PETS2009-S1L1-1-cropped.xml,20,7,587.1511,284.375,36.6521,89.06
PETS2009-S1L1-1-cropped.xml,20,8,616.0932,258.9942,32.4571,93.1566
PETS2009-S1L1-1-cropped.xml,20,9,629.3324,284.0381,48.8291,98.7064
PETS2009-S1L1-1-cropped.xml,21,1,475.5326,266.1915,45.9399,92.7972
PETS2009-S1L1-1-cropped.xml,21,2,516.0059,270.5169,46.6741,94.3155
PETS2009-S1L1-1-cropped.xml,21,4,534.8595,243.9516,41.7833,96.9803
PETS2009-S1L1-1-cropped.xml,21,5,522.0813,264.6235,34.9366,86.8216
PETS2009-S1L1-1-cropped.xml,21,6,580.5136,291.7916,49.5212,100.1617
PETS2009-S1L1-1-cropped.xml,21,7,578.815,281.8313,36.4,88.5126
PETS2009-S1L1-1-cropped.xml,21,8,607.9393,256.5469,32.3788,92.59
PETS2009-S1L1-1-cropped.xml,21,9,620.1985,281.2876,48.4626,97.958
PETS2009-S1L1-1-cropped.xml,22,1,467.3189,263.875,45.6152,92.1275
PETS2009-S1L1-1-cropped.xml,22,2,507.8161,267.8575,46.3132,93.5706
PETS2009-S1L1-1-cropped.xml,22,4,527.8181,242.2344,41.75,96.4334
PETS2009-S1L1-1-cropped.xml,22,5,514.2507,262.5728,34.643,86.238
PETS2009-S1L1-1-cropped.xml,22,6,572.5539,289.2071,49.1793,99.4605
PETS2009-S1L1-1-cropped.xml,22,7,570.4983,279.2968,36.1479,87.965
PETS2009-S1L1-1-cropped.xml,22,8,599.785,254.0998,32.3,92.0233
PETS2009-S1L1-1-cropped.xml,22,9,611.3384,278.5213,48.094,97.2051
PETS2009-S1L1-1-cropped.xml,23,1,459.2787,261.5084,45.2842,91.4446
PETS2009-S1L1-1-cropped.xml,23,2,499.7437,265.2899,45.9623,92.8468
PETS2009-S1L1-1-cropped.xml,23,4,521.07,240.5414,41.7167,95.8866
PETS2009-S1L1-1-cropped.xml,23,5,506.5641,260.5759,34.3492,85.6542
PETS2009-S1L1-1-cropped.xml,23,6,564.7848,286.6773,48.8435,98.7717
PETS2009-S1L1-1-cropped.xml,23,7,562.2485,276.7943,35.8963,87.4175
PETS2009-S1L1-1-cropped.xml,23,8,591.641,251.6648,32.22,91.4607
PETS2009-S1L1-1-cropped.xml,23,9,602.8438,275.724,47.7222,96.4449
PETS2009-S1L1-1-cropped.xml,24,1,451.4918,259.1234,44.9511,90.7576
PETS2009-S1L1-1-cropped.xml,24,2,491.8307,262.8194,45.6222,92.1464
PETS2009-S1L1-1-cropped.xml,24,4,514.48,238.8613,41.6833,95.3397
PETS2009-S1L1-1-cropped.xml,24,5,498.9831,258.6183,34.055,85.07
PETS2009-S1L1-1-cropped.xml,24,6,557.2908,284.1988,48.5135,98.0952
PETS2009-S1L1-1-cropped.xml,24,7,554.1671,274.3727,35.6454,86.8703
PETS2009-S1L1-1-cropped.xml,24,8,583.5327,249.2718,32.1366,90.9118
PETS2009-S1L1-1-cropped.xml,24,9,594.7876,272.9154,47.3499,95.6832
PETS2009-S1L1-1-cropped.xml,25,1,444.0086,256.7618,44.6214,90.0782
PETS2009-S1L1-1-cropped.xml,25,2,484.1333,260.4476,45.2934,91.4709
PETS2009-S1L1-1-cropped.xml,25,4,507.9529,237.1862,41.65,94.7925
PETS2009-S1L1-1-cropped.xml,25,5,491.4591,256.682,33.7608,84.4858
PETS2009-S1L1-1-cropped.xml,25,6,550.1222,281.7634,48.189,97.4299
PETS2009-S1L1-1-cropped.xml,25,7,546.3977,272.101,35.395,86.3234
PETS2009-S1L1-1-cropped.xml,25,8,575.5143,246.9853,32.0437,90.3978
PETS2009-S1L1-1-cropped.xml,25,9,587.1917,270.1513,46.9838,94.9341
PETS2009-S1L1-1-cropped.xml,25,12,692.5327,335.3268,38.8731,104.985
PETS2009-S1L1-1-cropped.xml,26,1,436.8482,254.4645,44.3004,89.4168
PETS2009-S1L1-1-cropped.xml,26,2,476.667,258.1877,44.9784,90.8236
PETS2009-S1L1-1-cropped.xml,26,4,501.4446,235.5125,41.6167,94.245
PETS2009-S1L1-1-cropped.xml,26,5,483.9572,254.7543,33.467,83.9019
PETS2009-S1L1-1-cropped.xml,26,6,543.2573,279.3563,47.8685,96.7722
PETS2009-S1L1-1-cropped.xml,26,7,539.0528,270.0334,35.1446,85.7766
PETS2009-S1L1-1-cropped.xml,26,8,567.6618,244.8967,31.9325,89.9482
PETS2009-S1L1-1-cropped.xml,26,9,580.0075,267.5048,46.6322,94.2151
PETS2009-S1L1-1-cropped.xml,26,10,658.2615,358.2084,49.23,113.7991
PETS2009-S1L1-1-cropped.xml,26,12,683.9913,332.2804,38.6669,104.415
PETS2009-S1L1-1-cropped.xml,27,1,430.0052,252.262,43.9919,88.781
PETS2009-S1L1-1-cropped.xml,27,2,469.3719,256.0685,44.6805,90.2107
PETS2009-S1L1-1-cropped.xml,27,4,494.9371,233.8387,41.5833,93.6974
PETS2009-S1L1-1-cropped.xml,27,5,476.4614,252.829,33.1734,83.3181
PETS2009-S1L1-1-cropped.xml,27,6,536.6111,276.9618,47.55,96.1178
PETS2009-S1L1-1-cropped.xml,27,7,532.1326,268.1701,34.8937,85.2297
PETS2009-S1L1-1-cropped.xml,27,8,560.0347,243.0773,31.7959,89.5866
PETS2009-S1L1-1-cropped.xml,27,9,573.1253,265.0391,46.3025,93.541
PETS2009-S1L1-1-cropped.xml,27,10,648.9181,354.9397,49.23,113.1931
PETS2009-S1L1-1-cropped.xml,27,11,680.8021,344.2021,44.4942,109.3342
PETS2009-S1L1-1-cropped.xml,27,12,675.9077,329.4055,38.4608,103.845
PETS2009-S1L1-1-cropped.xml,28,1,423.4583,250.1684,43.6974,88.174
PETS2009-S1L1-1-cropped.xml,28,2,462.1309,254.125,44.4036,89.6397
PETS2009-S1L1-1-cropped.xml,28,4,488.4301,232.165,41.55,93.15
PETS2009-S1L1-1-cropped.xml,28,5,468.9653,250.9037,32.88,82.7342
PETS2009-S1L1-1-cropped.xml,28,6,530.0926,274.5737,47.2322,95.4644
PETS2009-S1L1-1-cropped.xml,28,7,525.5243,266.4568,34.6421,84.6825
PETS2009-S1L1-1-cropped.xml,28,8,552.6327,241.527,31.6342,89.3128
PETS2009-S1L1-1-cropped.xml,28,9,566.416,262.7821,45.9975,92.9177
PETS2009-S1L1-1-cropped.xml,28,10,640.12,351.8466,49.23,112.5869
PETS2009-S1L1-1-cropped.xml,28,11,670.7906,340.9979,44.518,108.9058
PETS2009-S1L1-1-cropped.xml,28,12,668.071,326.6232,38.255,103.275
PETS2009-S1L1-1-cropped.xml,29,1,417.1656,248.1831,43.4165,87.5952
PETS2009-S1L1-1-cropped.xml,29,2,454.8335,252.3775,44.1496,89.115
PETS2009-S1L1-1-cropped.xml,29,4,481.9233,230.4913,41.5167,92.6026
PETS2009-S1L1-1-cropped.xml,29,5,461.4696,248.9783,32.5867,82.15
PETS2009-S1L1-1-cropped.xml,29,6,523.671,272.203,46.9161,94.8143
PETS2009-S1L1-1-cropped.xml,29,7,519.0844,264.8239,34.39,84.135
PETS2009-S1L1-1-cropped.xml,29,8,545.396,240.1742,31.454,89.1034
PETS2009-S1L1-1-cropped.xml,29,9,559.7717,260.7148,45.7149,92.3398
PETS2009-S1L1-1-cropped.xml,29,10,631.8674,348.9293,49.23,111.9809
PETS2009-S1L1-1-cropped.xml,29,11,660.8101,337.8026,44.5421,108.4766
PETS2009-S1L1-1-cropped.xml,29,12,660.332,323.8776,38.0492,102.705
PETS2009-S1L1-1-cropped.xml,29,13,713.325,314.7532,43.945,106.8053
PETS2009-S1L1-1-cropped.xml,30,1,411.0485,246.2966,43.1477,87.0416
PETS2009-S1L1-1-cropped.xml,30,2,447.4344,250.8129,43.9167,88.6333
PETS2009-S1L1-1-cropped.xml,30,4,475.4168,228.8239,41.4803,92.0571
PETS2009-S1L1-1-cropped.xml,30,5,453.9745,247.0529,32.2933,81.5658
PETS2009-S1L1-1-cropped.xml,30,6,517.3945,269.8782,46.6053,94.1752
PETS2009-S1L1-1-cropped.xml,30,7,512.7111,263.2225,34.1379,83.5875
PETS2009-S1L1-1-cropped.xml,30,8,538.2486,238.928,31.2638,88.9287
PETS2009-S1L1-1-cropped.xml,30,9,553.1134,258.7788,45.4474,91.7925
PETS2009-S1L1-1-cropped.xml,30,10,624.0156,346.1413,49.23,111.3753
PETS2009-S1L1-1-cropped.xml,30,11,650.9371,334.6374,44.5678,108.0437
PETS2009-S1L1-1-cropped.xml,30,12,652.6214,321.1429,37.8431,102.135
PETS2009-S1L1-1-cropped.xml,30,13,705.9749,311.8659,44.095,106.2308
PETS2009-S1L1-1-cropped.xml,31,1,404.9816,244.4956,42.8888,86.5084
PETS2009-S1L1-1-cropped.xml,31,2,439.9539,249.3799,43.6984,88.182
PETS2009-S1L1-1-cropped.xml,31,4,468.9107,227.1785,41.4334,91.5186
PETS2009-S1L1-1-cropped.xml,31,5,446.48,245.1276,32.0,80.9819
PETS2009-S1L1-1-cropped.xml,31,6,511.3416,267.6358,46.3047,93.5569
PETS2009-S1L1-1-cropped.xml,31,7,506.3569,261.6297,33.8863,83.0403
PETS2009-S1L1-1-cropped.xml,31,8,531.1367,237.7241,31.0697,88.7675
PETS2009-S1L1-1-cropped.xml,31,9,546.3655,256.906,45.1867,91.2584
PETS2009-S1L1-1-cropped.xml,31,10,616.38,343.423,49.23,110.7701
PETS2009-S1L1-1-cropped.xml,31,11,641.3357,331.5478,44.5978,107.6008
PETS2009-S1L1-1-cropped.xml,31,12,644.9107,318.4088,37.6369,101.565
PETS2009-S1L1-1-cropped.xml,31,13,698.629,308.9894,44.245,105.6566
PETS2009-S1L1-1-cropped.xml,32,1,398.8125,242.7656,42.6377,85.9904
PETS2009-S1L1-1-cropped.xml,32,2,432.4372,248.0063,43.4861,87.7438
PETS2009-S1L1-1-cropped.xml,32,3,180.3355,182.0605,28.555,62.1272
PETS2009-S1L1-1-cropped.xml,32,4,462.4059,225.5883,41.3599,90.998
PETS2009-S1L1-1-cropped.xml,32,5,438.9854,243.2024,31.7066,80.3981
PETS2009-S1L1-1-cropped.xml,32,6,505.5492,265.5059,46.0182,92.9673
PETS2009-S1L1-1-cropped.xml,32,7,500.0023,260.0366,33.6354,82.4934
PETS2009-S1L1-1-cropped.xml,32,8,524.0351,236.5325,30.8741,88.61
PETS2009-S1L1-1-cropped.xml,32,9,539.447,255.0536,44.927,90.7262
PETS2009-S1L1-1-cropped.xml,32,10,608.83,340.7321,49.23,110.165
PETS2009-S1L1-1-cropped.xml,32,11,632.2384,328.5983,44.6363,107.1389
PETS2009-S1L1-1-cropped.xml,32,12,637.2,315.6801,37.4313,100.9959
PETS2009-S1L1-1-cropped.xml,32,13,691.2973,306.1484,44.395,105.0821
PETS2009-S1L1-1-cropped.xml,33,1,392.4132,241.0942,42.3923,85.4828
PETS2009-S1L1-1-cropped.xml,33,2,424.9185,246.6261,43.2719,87.3025
PETS2009-S1L1-1-cropped.xml,33,3,185.6404,182.4777,28.7324,62.3892
PETS2009-S1L1-1-cropped.xml,33,4,455.9032,224.1004,41.2368,90.5104
PETS2009-S1L1-1-cropped.xml,33,5,431.4902,241.2771,31.413,79.8142
PETS2009-S1L1-1-cropped.xml,33,6,499.9811,263.5033,45.7476,92.4099
PETS2009-S1L1-1-cropped.xml,33,7,493.6475,258.4433,33.3851,81.9466
PETS2009-S1L1-1-cropped.xml,33,8,516.9331,235.3412,30.6781,88.4524
PETS2009-S1L1-1-cropped.xml,33,9,532.297,253.2206,44.6681,90.1952
PETS2009-S1L1-1-cropped.xml,33,10,601.305,338.0487,49.23,109.56
PETS2009-S1L1-1-cropped.xml,33,11,623.8276,325.8394,44.6863,106.6514
PETS2009-S1L1-1-cropped.xml,33,12,629.4906,312.9683,37.2276,100.4298
PETS2009-S1L1-1-cropped.xml,33,13,684.0009,303.3958,44.545,104.5071
PETS2009-S1L1-1-cropped.xml,34,1,385.7283,239.4771,42.1514,84.9841
PETS2009-S1L1-1-cropped.xml,34,2,417.4238,245.1955,43.0511,86.8471
PETS2009-S1L1-1-cropped.xml,34,3,190.945,182.8946,28.91,62.6508
PETS2009-S1L1-1-cropped.xml,34,4,449.4037,222.7514,41.0459,90.0673
PETS2009-S1L1-1-cropped.xml,34,5,424.0065,239.3604,31.1214,79.2333
PETS2009-S1L1-1-cropped.xml,34,6,494.5451,261.6275,45.4925,91.8836
PETS2009-S1L1-1-cropped.xml,34,7,487.2925,256.8499,33.1349,81.3997
PETS2009-S1L1-1-cropped.xml,34,8,509.8306,234.15,30.4819,88.295
PETS2009-S1L1-1-cropped.xml,34,9,524.9135,251.4344,44.4131,89.6721
PETS2009-S1L1-1-cropped.xml,34,10,593.78,335.3646,49.23,108.955
PETS2009-S1L1-1-cropped.xml,34,11,616.1033,323.2711,44.7478,106.1382
PETS2009-S1L1-1-cropped.xml,34,12,621.7849,310.2977,37.0278,99.8713
PETS2009-S1L1-1-cropped.xml,34,13,676.7699,300.8067,44.695,103.9316
PETS2009-S1L1-1-cropped.xml,34,16,726.6725,295.3417,33.0294,102.6402
PETS2009-S1L1-1-cropped.xml,35,1,378.7811,237.9242,41.9156,84.497
PETS2009-S1L1-1-cropped.xml,35,2,409.9996,243.6965,42.8218,86.3735
PETS2009-S1L1-1-cropped.xml,35,3,196.2496,183.3114,29.0876,62.9128
PETS2009-S1L1-1-cropped.xml,35,4,442.9072,221.541,40.787,89.669
PETS2009-S1L1-1-cropped.xml,35,5,416.5647,237.4737,30.8373,78.6639
PETS2009-S1L1-1-cropped.xml,35,6,489.1388,259.8686,45.251,91.3853
PETS2009-S1L1-1-cropped.xml,35,7,480.9377,255.2567,32.8846,80.8525
PETS2009-S1L1-1-cropped.xml,35,8,502.728,232.9585,30.2859,88.1376
PETS2009-S1L1-1-cropped.xml,35,9,517.3572,249.7216,44.1653,89.164
PETS2009-S1L1-1-cropped.xml,35,10,586.255,332.68,49.23,108.3499
PETS2009-S1L1-1-cropped.xml,35,11,608.883,320.8424,44.8178,105.6062
PETS2009-S1L1-1-cropped.xml,35,12,614.0856,307.7027,36.8351,99.3271
PETS2009-S1L1-1-cropped.xml,35,13,669.6282,298.4404,44.845,103.3558
PETS2009-S1L1-1-cropped.xml,35,15,720.549,301.4131,50.1825,103.2043
PETS2009-S1L1-1-cropped.xml,35,16,719.6501,293.235,33.0025,102.15
PETS2009-S1L1-1-cropped.xml,36,1,371.6398,236.4532,41.6877,84.0265
PETS2009-S1L1-1-cropped.xml,36,2,402.7309,242.1298,42.5847,85.8828
PETS2009-S1L1-1-cropped.xml,36,3,201.5544,183.7284,29.265,63.1751
PETS2009-S1L1-1-cropped.xml,36,4,436.4131,220.4327,40.478,89.3039
PETS2009-S1L1-1-cropped.xml,36,5,409.2297,235.6629,30.573,78.1236
PETS2009-S1L1-1-cropped.xml,36,6,483.6992,258.2105,45.0209,90.9107
PETS2009-S1L1-1-cropped.xml,36,7,474.5831,253.6638,32.6337,80.305
PETS2009-S1L1-1-cropped.xml,36,8,495.6255,231.7666,30.0903,87.98
PETS2009-S1L1-1-cropped.xml,36,9,509.7192,248.0863,43.9259,88.6725
PETS2009-S1L1-1-cropped.xml,36,10,578.73,329.9952,49.23,107.7447
PETS2009-S1L1-1-cropped.xml,36,11,601.9346,318.4884,44.8921,105.0638
PETS2009-S1L1-1-cropped.xml,36,12,606.3946,305.2107,36.6519,98.8021
PETS2009-S1L1-1-cropped.xml,36,13,662.5758,296.2969,44.995,102.7803
PETS2009-S1L1-1-cropped.xml,36,15,713.8889,299.789,50.6162,103.0048
PETS2009-S1L1-1-cropped.xml,36,16,712.5575,291.1075,32.975,101.655
PETS2009-S1L1-1-cropped.xml,37,1,364.3766,235.072,41.4693,83.575
PETS2009-S1L1-1-cropped.xml,37,2,395.7231,240.5074,42.3416,85.3799
PETS2009-S1L1-1-cropped.xml,37,3,206.8593,184.1457,29.4424,63.4376
PETS2009-S1L1-1-cropped.xml,37,4,429.9202,219.3797,40.1419,88.9572
PETS2009-S1L1-1-cropped.xml,37,5,402.0935,233.9928,30.3458,77.6369
